id	title	description	link	image_link	additional_image_link	availability	price	condition	brand	identifier_exists	mpn	google_product_category	product_type	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
iherb-159627	[iHerb]Revive 브레인 베지 캡슐 150정	[iHerb]Revive 브레인 베지 캡슐 150정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85361	https://cdn.imweb.me/upload/S2026031936150999f07e8/cce8465c1c0e3.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/05f1025d462a1.jpeg	out_of_stock	40420 KRW	new	Revive	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_20000_50000	safe
iherb-159762	[iHerb]메가푸드 여성용 전신 멀티 구미젤리 딸기 맛 식물성 구미젤리 90개	[iHerb]메가푸드 여성용 전신 멀티 구미젤리 딸기 맛 식물성 구미젤리 90개. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85359	https://cdn.imweb.me/upload/S2026031936150999f07e8/d9b844c4f20f7.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/18ce492523c41.jpeg	in_stock	36820 KRW	new	MegaFood	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-160129	[iHerb]스완슨 Balance B-100 복합체 고효능 식물성 정제 100정	[iHerb]스완슨 Balance B-100 복합체 고효능 식물성 정제 100정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85357	https://cdn.imweb.me/upload/S2026031936150999f07e8/71ac8e7e08d9a.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/44cb5ebbd29ad.jpeg	out_of_stock	25990 KRW	new	Swanson	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_20000_50000	safe
iherb-160131	[iHerb]스완슨 가르시니아 캄보지아 비건 정제 60정	[iHerb]스완슨 가르시니아 캄보지아 비건 정제 60정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85356	https://cdn.imweb.me/upload/S2026031936150999f07e8/c33a9cedb6ac3.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/3e1a082e26085.jpeg	in_stock	15730 KRW	new	Swanson	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_under_20000	safe
iherb-160132	[iHerb]스완슨 슈퍼 그린 맥스 플러스 분말 255g	[iHerb]스완슨 슈퍼 그린 맥스 플러스 분말 255g. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85355	https://cdn.imweb.me/upload/S2026031936150999f07e8/e745659e92f37.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/4b2d184ad762c.jpeg	in_stock	51170 KRW	new	Swanson	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_50000_plus	safe
iherb-160134	[iHerb]스완슨 GHR 포뮬라 캡슐 120정	[iHerb]스완슨 GHR 포뮬라 캡슐 120정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85353	https://cdn.imweb.me/upload/S2026031936150999f07e8/4d8f4e402eb03.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/4548a2e4dab72.jpeg	out_of_stock	27830 KRW	new	Swanson	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_20000_50000	safe
iherb-16700	[iHerb]American Biotech Labs Silver Biotics SilverSol 기술	[iHerb]American Biotech Labs Silver Biotics SilverSol 기술. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85350	https://cdn.imweb.me/upload/S2026031936150999f07e8/3f00928c4d7e6.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/ca677a7b47b12.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/59dd06b2acee5.jpeg	out_of_stock	38240 KRW	new	American Biotech Labs	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_20000_50000	safe
iherb-17898	[iHerb]Nature s Life 블랙커런트 오일 500mg 미니 소프트젤 90정	[iHerb]Nature s Life 블랙커런트 오일 500mg 미니 소프트젤 90정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85348	https://cdn.imweb.me/upload/S2026031936150999f07e8/95497ebef5fd7.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/3621f680a0cf0.jpeg	in_stock	28840 KRW	new	Nature's Life	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-19203	[iHerb]Metagenics Bone Builder 플러스 캡슐 180정	[iHerb]Metagenics Bone Builder 플러스 캡슐 180정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85343	https://cdn.imweb.me/upload/S2026031936150999f07e8/cab439f5e53cb.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/ab9452efde33d.jpeg	in_stock	104360 KRW	new	Metagenics	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_50000_plus	safe
iherb-20567	[iHerb]Metagenics Lipo-Gen 270정	[iHerb]Metagenics Lipo-Gen 270정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85341	https://cdn.imweb.me/upload/S2026031936150999f07e8/ab985edad4ee7.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/4b83f52ce8d7b.jpeg	in_stock	138150 KRW	new	Metagenics	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_50000_plus	safe
iherb-20622	[iHerb]Metagenics 여성 건강 인돌-3-카르비놀 캡슐 180정	[iHerb]Metagenics 여성 건강 인돌-3-카르비놀 캡슐 180정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85340	https://cdn.imweb.me/upload/S2026031936150999f07e8/7cb6dbf3a5d46.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/6785dde3699b0.jpeg	in_stock	153510 KRW	new	Metagenics	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_50000_plus	safe
iherb-22592	[iHerb]Starwest Botanicals 통 페퍼 블랙 말라바 고품질 453 6g	[iHerb]Starwest Botanicals 통 페퍼 블랙 말라바 고품질 453 6g. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85330	https://cdn.imweb.me/upload/S2026031936150999f07e8/2f7e88a4e23bf.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/7b426d340e790.jpeg	in_stock	37120 KRW	new	Starwest Botanicals	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-26442	[iHerb]If You Care 베이킹 유산지 미리 잘려져 있는 유산지 24매 각 200제곱인치	[iHerb]If You Care 베이킹 유산지 미리 잘려져 있는 유산지 24매 각 200제곱인치. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85325	https://cdn.imweb.me/upload/S2026031936150999f07e8/3fbf2b8bd7d3a.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/393a7210fd18b.jpeg	in_stock	9120 KRW	new	If You Care	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_under_20000	safe
iherb-2728	[iHerb]Life Enhancement 더크 피어슨 샌디 쇼의 BHT 플러스 100 캡슐	[iHerb]Life Enhancement 더크 피어슨 샌디 쇼의 BHT 플러스 100 캡슐. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85324	https://cdn.imweb.me/upload/S2026031936150999f07e8/7014f49dfb83e.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/8e0600255776f.jpeg	in_stock	20740 KRW	new	Life Enhancement	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-29538	[iHerb]Arrowhead Mills 고품질 옐로우 팝콘 793g	[iHerb]Arrowhead Mills 고품질 옐로우 팝콘 793g. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85320	https://cdn.imweb.me/upload/S2026031936150999f07e8/8afefa2c8c172.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/a598b36384400.jpeg	in_stock	6750 KRW	new	Arrowhead Mills	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_under_20000	safe
iherb-30913	[iHerb]Frontier Co-op 고품질 전체 검정 후추열매 16 온스	[iHerb]Frontier Co-op 고품질 전체 검정 후추열매 16 온스. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85319	https://cdn.imweb.me/upload/S2026031936150999f07e8/ed4eda0b20776.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/c29270584e955.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/0db7c5ab36b4f.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/f2ec0d15834d8.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/4c3cceddda400.jpeg	in_stock	37110 KRW	new	Frontier Co-op	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-31001	[iHerb]Frontier Co-op 고품질 공정 무역 통블랙 통후추 453g	[iHerb]Frontier Co-op 고품질 공정 무역 통블랙 통후추 453g. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85317	https://cdn.imweb.me/upload/S2026031936150999f07e8/1e5c3f3f65d6b.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/f79717049d875.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/716c569e3c007.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/924b485a80377.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/be3d0e737c6b0.jpeg	in_stock	33160 KRW	new	Frontier Co-op	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-37340	[iHerb]Oregon s Wild Harvest Aller-Aid with Quercetin	[iHerb]Oregon s Wild Harvest Aller-Aid with Quercetin. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85315	https://cdn.imweb.me/upload/S2026031936150999f07e8/e07d251c5beb7.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/deb228dcc3270.jpeg	out_of_stock	34660 KRW	new	Oregon's Wild Harvest	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_20000_50000	safe
iherb-37479	[iHerb]Herbal Answers Herbal Aloe Force Raw Purified	[iHerb]Herbal Answers Herbal Aloe Force Raw Purified. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85314	https://cdn.imweb.me/upload/S2026031936150999f07e8/9d805fc0be100.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/736ca916b7c35.jpeg	in_stock	55820 KRW	new	Herbal Answers	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_50000_plus	safe
