id	title	description	availability	condition	price	link	image_link	additional_image_link	brand	mpn	google_product_category	product_type	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
iherb-68730	Organyc 유기농 면 생리대 중간 양 10개입	Organyc 유기농 면 생리대 중간 양 10개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	13340 KRW	https://www.onejikgu.co.kr/shop_view?idx=69253	https://cdn.imweb.me/upload/S2026031936150999f07e8/1d275873a20f4.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/52e7862595593.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/0f7a122b2a2bc.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/67b56ed89c486.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/662e065b34f14.jpeg	Organyc	iherb-68730	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-145900	Rael 유기농 면 커버 생리대 속옷 L XL 5개	Rael 유기농 면 커버 생리대 속옷 L XL 5개. iHerb 해외직구 목욕 상품입니다.	in stock	new	13620 KRW	https://www.onejikgu.co.kr/shop_view?idx=69232	https://cdn.imweb.me/upload/S2026031936150999f07e8/44e94f2ecd8ef.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/8fb0f27e5e255.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/c2c7b32771ddc.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/f464c958303e9.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/c6b96881820ea.jpeg	Rael	iherb-145900	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-123990	Rael 유기농 순면 커버 생리대 S M 5개	Rael 유기농 순면 커버 생리대 S M 5개. iHerb 해외직구 목욕 상품입니다.	in stock	new	13610 KRW	https://www.onejikgu.co.kr/shop_view?idx=69231	https://cdn.imweb.me/upload/S2026031936150999f07e8/dc8e770fed156.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/0a51ef275bb45.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/d057ed22190e4.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/561e3fd99adc7.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/bf97e74345215.jpeg	Rael	iherb-123990	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-132502	The Honey Pot Company 100 유기농 순면 커버 오버나이트 패드 날개형	The Honey Pot Company 100 유기농 순면 커버 오버나이트 패드 날개형. iHerb 해외직구 목욕 상품입니다.	in stock	new	18900 KRW	https://www.onejikgu.co.kr/shop_view?idx=69223	https://cdn.imweb.me/upload/S2026031936150999f07e8/0caf32c46ff90.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/fbf603b670f97.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/25db068069aca.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/97d81ef658158.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/d77edeb68ab16.jpeg	The Honey Pot Company	iherb-132502	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-109076	Rael 유기농 순면 커버 팬티 라이너 마이크로 씬 70개	Rael 유기농 순면 커버 팬티 라이너 마이크로 씬 70개. iHerb 해외직구 목욕 상품입니다.	in stock	new	12900 KRW	https://www.onejikgu.co.kr/shop_view?idx=69213	https://cdn.imweb.me/upload/S2026031936150999f07e8/c0e6291c15c90.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/fa4a8642019d5.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/c543dfb7b8aa3.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/8e7c122efbe30.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/ad627a0819d59.jpeg	Rael	iherb-109076	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-106401	[iHerb]The Honey Pot Company 허브 무함유 날개형 순면 패드 고품질 오버나이트	[iHerb]The Honey Pot Company 허브 무함유 날개형 순면 패드 고품질 오버나이트. iHerb 해외직구 목욕 상품입니다.	in stock	new	15820 KRW	https://www.onejikgu.co.kr/shop_view?idx=69203	https://cdn.imweb.me/upload/S2026031936150999f07e8/8dd8d2675188c.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/92db1d6c98b47.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/bf212840a6206.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/0ba2a4ccd1b3c.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/edbba5aee697b.jpeg	The Honey Pot Company	iherb-106401	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-106206	The Honey Pot Company 유기농 허브 함유 패드 날개형 산후 하룻밤 12개입	The Honey Pot Company 유기농 허브 함유 패드 날개형 산후 하룻밤 12개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	15890 KRW	https://www.onejikgu.co.kr/shop_view?idx=69202	https://cdn.imweb.me/upload/S2026031936150999f07e8/25789a7476e9a.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/e60fc3831635e.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/d6b075e66b1d2.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/f0d8b19c59fd9.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/5102b1dc67fcd.jpeg	The Honey Pot Company	iherb-106206	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-106203	The Honey Pot Company 유기농 쿨링 허브 인퓨전 패드 포함 날개형	The Honey Pot Company 유기농 쿨링 허브 인퓨전 패드 포함 날개형. iHerb 해외직구 목욕 상품입니다.	in stock	new	15890 KRW	https://www.onejikgu.co.kr/shop_view?idx=69200	https://cdn.imweb.me/upload/S2026031936150999f07e8/3b2736005f986.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/25bd652378fc3.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/589227ecb1b94.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/abda63f85a79b.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/cd803622ad366.jpeg	The Honey Pot Company	iherb-106203	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-106399	The Honey Pot Company 100 유기농 순면 커버 허브 함유 패드 날개형	The Honey Pot Company 100 유기농 순면 커버 허브 함유 패드 날개형. iHerb 해외직구 목욕 상품입니다.	in stock	new	16450 KRW	https://www.onejikgu.co.kr/shop_view?idx=69199	https://cdn.imweb.me/upload/S2026031936150999f07e8/2c7e19a76fb39.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/e0adb155c7165.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/4cabba966322f.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/20024228c60f2.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/035308dba6e52.jpeg	The Honey Pot Company	iherb-106399	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-106202	The Honey Pot Company 100 유기농 순면 커버 날개형 패드 슈퍼 16개입	The Honey Pot Company 100 유기농 순면 커버 날개형 패드 슈퍼 16개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	15890 KRW	https://www.onejikgu.co.kr/shop_view?idx=69198	https://cdn.imweb.me/upload/S2026031936150999f07e8/a4b0d3de90433.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/437ddd3a5e754.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/346010b4ba699.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/857421c012c83.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/609cb57ae6b00.jpeg	The Honey Pot Company	iherb-106202	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
